Наименование товара;Цена;Фото;Ссылка
Полиця для взуття і пляшок для використання в стелажах, глиб. 527 мм;23,72 €;https://a-c.com.ua/img/shop/ws1444851355.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/polki_dlya_obuvi_bryuk/67-policya_dlya_vzuttya_butilok_dlya_vikoristannya_v_stelazhah_glib_527_mm.html
Кошики для використання в стеллажах  та в Decor, глибина 40см;13,33 €;https://a-c.com.ua/img/shop/ws1625318347.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/korziny/66-koshik_dlya_vikoristannya_v_stellazhah_ta_v_decor_glibina_40sm.html
Кнопка для полиць ДСП 10шт.;3,21 €;https://a-c.com.ua/img/shop/ws1445239988.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/64-polochnaya_knopka_10sht.html
Затискач для сітчатої полиці 4шт.;2,93 €;https://a-c.com.ua/img/shop/ws1444814707.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/63-zazhim_dlya_provolochnoj_polki_4sht.html
Стопор для меш-кошиків 4шт;5,28 €;https://a-c.com.ua/img/shop/ws1444815250.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/62-stopor_dlya_mesh_korzin_4sht.html
Боковий упор для книг;16,01 €;https://a-c.com.ua/img/shop/ws1625391404.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/60-bokovoj_upor_dlya_knig_2sht.html
Універсальний гачок 3шт.;10,20 €;https://a-c.com.ua/img/shop/ws1625304456.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/58-universalnyj_kryuchok_3sht.html
Роздільник для медіа-кошика ;3,57 €;https://a-c.com.ua/img/shop/ws1444825146.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/57-razdelitel_dlya_media_korziny_2sht.html
Роздільник полиці-кошика;12,68 €;https://a-c.com.ua/img/shop/ws1625305471.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/56-razdelitel_polki_korziny.html
Роздільник для сітчатої полиці;9,06 €;https://a-c.com.ua/img/shop/ws1625314033.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/55-razdelitel_dlya_provolochnoj_polki.html
